	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	unemployment	educ	experience	female	white	married	union
							
12.stfips	-0.747***	0.202***	0.949***	0.140***	-0.222***	-0.193***	-0.351***
	(0.00751)	(0.00194)	(0.00887)	(0.000888)	(0.00419)	(0.000996)	(0.00154)
13.stfips	-0.673***	-0.155***	-0.446***	0.0974***	-0.398***	-0.155***	-0.380***
	(0.0150)	(0.00388)	(0.00831)	(0.00123)	(0.00239)	(0.00159)	(0.00171)
15.stfips	-2.803***	0.121	1.026***	-0.0870***	-2.275***	-0.0428	0.837***
	(0.158)	(0.0877)	(0.245)	(0.0282)	(0.168)	(0.0332)	(0.0584)
16.stfips	-1.134***	0.347***	-0.352***	0.0527***	1.318***	0.394***	-0.214***
	(0.0175)	(0.00753)	(0.0136)	(0.00178)	(0.0140)	(0.00229)	(0.00419)
17.stfips	-0.417**	0.0236	0.680***	-0.0428	1.017***	0.192***	0.294***
	(0.158)	(0.0887)	(0.248)	(0.0284)	(0.175)	(0.0332)	(0.0579)
18.stfips	-1.517***	0.177**	0.315	0.00470	0.613***	0.0453*	0.419***
	(0.129)	(0.0683)	(0.201)	(0.0234)	(0.134)	(0.0268)	(0.0491)
19.stfips	-2.322***	0.305***	0.453***	0.0807***	1.794***	0.219***	0.321***
	(0.0291)	(0.00567)	(0.0136)	(0.00197)	(0.00963)	(0.00239)	(0.00448)
20.stfips	-1.928***	0.409***	0.223***	0.0635***	0.948***	0.122***	-0.00276
	(0.0229)	(0.00650)	(0.0117)	(0.00184)	(0.00992)	(0.00198)	(0.00434)
21.stfips	-0.567***	0.0489	-0.170	0.0345	1.362***	0.234***	-0.0382
	(0.138)	(0.0756)	(0.213)	(0.0246)	(0.146)	(0.0286)	(0.0524)
22.stfips	0.293***	0.0367***	0.291***	0.131***	-0.0963***	-0.143***	-0.357***
	(0.00761)	(0.00429)	(0.0128)	(0.00122)	(0.00607)	(0.00160)	(0.00187)
23.stfips	-1.828***	0.375***	1.628***	0.0743***	3.062***	0.214***	0.0557
	(0.160)	(0.0871)	(0.243)	(0.0282)	(0.174)	(0.0331)	(0.0583)
24.stfips	-2.282***	0.208**	0.535**	-0.0274	0.0208	-0.136***	0.175***
	(0.156)	(0.0853)	(0.242)	(0.0281)	(0.170)	(0.0325)	(0.0573)
25.stfips	-1.820***	0.268***	0.970***	0.157***	1.361***	-0.0798**	0.251***
	(0.152)	(0.0805)	(0.239)	(0.0277)	(0.166)	(0.0317)	(0.0545)
26.stfips	0.311**	0.431***	-0.298	-0.0900***	1.210***	0.117***	0.817***
	(0.125)	(0.0663)	(0.195)	(0.0226)	(0.126)	(0.0258)	(0.0474)
27.stfips	-2.532***	0.560***	-0.171	0.0787***	1.639***	0.174***	0.560***
	(0.161)	(0.0887)	(0.244)	(0.0283)	(0.175)	(0.0333)	(0.0591)
28.stfips	0.736***	-0.0468***	0.398***	0.145***	-0.462***	-0.0246***	-0.554***
	(0.00503)	(0.00112)	(0.00455)	(0.000775)	(0.00277)	(0.000742)	(0.00133)
29.stfips	-1.473***	0.200**	0.369	-0.0213	1.381***	0.101***	0.106*
	(0.153)	(0.0844)	(0.237)	(0.0273)	(0.167)	(0.0320)	(0.0564)
