	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	No Macro Controls	Macro Controls	No Year FE	No Macro Controls	Macro Controls	No Year FE
						
13.occ	0.402***	0.399***	0.412***	-0.0145	-0.0143	-0.0118
	(0.0745)	(0.0745)	(0.0751)	(0.0415)	(0.0415)	(0.0414)
14.occ	0.166**	0.164**	0.179**	-0.0811*	-0.0811*	-0.0782*
	(0.0793)	(0.0788)	(0.0811)	(0.0440)	(0.0440)	(0.0440)
15.occ	0.542***	0.542***	0.557***	0.210***	0.211***	0.220***
	(0.102)	(0.102)	(0.102)	(0.0662)	(0.0661)	(0.0660)
16.occ	0.0455	0.0432	0.0579	-0.105**	-0.105**	-0.104**
	(0.0795)	(0.0799)	(0.0801)	(0.0453)	(0.0454)	(0.0448)
17.occ	0.118	0.115	0.128*	-0.0483	-0.0481	-0.0497
	(0.0748)	(0.0746)	(0.0750)	(0.0368)	(0.0367)	(0.0361)
18.occ	0.384***	0.386***	0.405***	0.0801	0.0811	0.0884
	(0.123)	(0.123)	(0.123)	(0.0954)	(0.0951)	(0.0929)
19.occ				-0.0545	-0.0543	-0.0542
				(0.0558)	(0.0558)	(0.0560)
20.occ	0.113	0.113	0.126*	-0.0714*	-0.0714*	-0.0734*
	(0.0749)	(0.0745)	(0.0758)	(0.0424)	(0.0425)	(0.0420)
21.occ	0.116	0.116	0.130	-0.0775	-0.0772	-0.0783
	(0.0829)	(0.0826)	(0.0839)	(0.0493)	(0.0492)	(0.0484)
22.occ	0.239***	0.236***	0.248***	-0.0539	-0.0534	-0.0506
	(0.0767)	(0.0763)	(0.0775)	(0.0460)	(0.0461)	(0.0456)
23.occ				-0.0763*	-0.0763*	-0.0777*
				(0.0453)	(0.0452)	(0.0451)
2.stfips	0.153***	0.0983***	0.129***	0.0569***	0.0442***	-0.00490
	(0.0108)	(0.0120)	(0.0101)	(0.00892)	(0.0113)	(0.00952)
4.stfips	-0.152***	-0.0168	-0.0757***	-0.0474***	-0.0523***	-0.0688***
	(0.00537)	(0.0201)	(0.0147)	(0.00657)	(0.00614)	(0.00624)
5.stfips	-0.0328***	0.0278***	0.00303	-0.0166***	-0.00965	0.00714*
	(0.00312)	(0.00932)	(0.00652)	(0.00339)	(0.00633)	(0.00372)
6.stfips	0.00664	0.0348***	0.0221***	0.0374***	0.0146	-0.0512***
	(0.00657)	(0.00836)	(0.00744)	(0.00899)	(0.0162)	(0.0122)
8.stfips	-0.0291***	0.160***	0.0801***	-0.0452***	-0.0360***	-0.0192***
	(0.00618)	(0.0268)	(0.0187)	(0.00539)	(0.00889)	(0.00503)
9.stfips	-0.273***	-0.0434	-0.141***	0.0233***	0.0236***	0.0172***
	(0.00650)	(0.0329)	(0.0230)	(0.00677)	(0.00658)	(0.00592)
10.stfips	-0.173***	0.0736**	-0.0301	0.0137***	0.0227**	0.0444***
	(0.00437)	(0.0340)	(0.0230)	(0.00519)	(0.00971)	(0.00619)
11.stfips	-0.469***	-0.459***	-0.461***	0.100***	0.0789***	0.0193
	(0.0147)	(0.0142)	(0.0145)	(0.0126)	(0.0171)	(0.0151)
12.stfips	-0.137***	-0.0267	-0.0739***	0.170***	0.174***	0.179***
	(0.00556)	(0.0173)	(0.0123)	(0.00485)	(0.00637)	(0.00596)
13.stfips	-0.0605***	0.115***	0.0382**	0.101***	0.0934***	0.0715***
	(0.00454)	(0.0236)	(0.0155)	(0.00308)	(0.00562)	(0.00421)
15.stfips	-0.0612***	0.177***	0.0685***	0.0765***	0.102***	0.159***
	(0.0162)	(0.0354)	(0.0254)	(0.0156)	(0.0249)	(0.0177)
16.stfips	-0.114***	-0.0148	-0.0568***	-0.0356***	-0.0219*	0.0145*
	(0.00553)	(0.0156)	(0.0120)	(0.00577)	(0.0129)	(0.00797)
17.stfips	-0.145***	-0.0991***	-0.121***	0.0446***	0.0313***	0.00120
	(0.00524)	(0.00872)	(0.00695)	(0.00460)	(0.00816)	(0.00448)
18.stfips	-0.150***	0.0193	-0.0502***	0.0546***	0.0547***	0.0479***
	(0.00584)	(0.0250)	(0.0176)	(0.00495)	(0.00483)	(0.00431)
19.stfips	-0.121***	0.117***	0.0107	-0.129***	-0.0992***	-0.0255***
	(0.00587)	(0.0323)	(0.0218)	(0.00671)	(0.0220)	(0.00958)
20.stfips	-0.109***	0.131***	0.0264	-0.0759***	-0.0567***	-0.00718
	(0.00604)	(0.0334)	(0.0232)	(0.00466)	(0.0144)	(0.00673)
21.stfips	-0.0461***	0.00797	-0.0113	-0.0533***	-0.0614***	-0.0901***
	(0.00450)	(0.00851)	(0.00735)	(0.00488)	(0.00627)	(0.00531)
22.stfips	-0.0519***	-0.114***	-0.0816***	0.0839***	0.0826***	0.0873***
	(0.00414)	(0.00947)	(0.00642)	(0.00690)	(0.00675)	(0.00549)
23.stfips	-0.182***	-0.0252	-0.0911***	-0.0145*	-0.00447	0.0153**
	(0.00643)	(0.0227)	(0.0161)	(0.00791)	(0.0114)	(0.00708)
24.stfips	-0.0765***	0.148***	0.0463**	-0.100***	-0.0865***	-0.0551***
	(0.00629)	(0.0310)	(0.0202)	(0.00624)	(0.0124)	(0.00682)
25.stfips	-0.0431***	0.121***	0.0528***	0.0721***	0.0803***	0.101***
	(0.00758)	(0.0248)	(0.0177)	(0.00643)	(0.0101)	(0.00752)
26.stfips	-0.0209***	-0.0322***	-0.0232***	0.0823***	0.0613***	-0.00315
