	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	Not Covered By Union Contract	Not Covered By Union Contract	Not Covered By Union Contract	Covered By Union Contract	Covered By Union Contract	Covered By Union Contract
						
inflation_rtw	0.0136	0.0126	0.0124	0.0268	0.0258	0.0233
	(0.0101)	(0.00915)	(0.00938)	(0.0179)	(0.0168)	(0.0175)
rtw	-0.0877*	-0.0550	0.0126	0.00238	0.0311	0.105
	(0.0529)	(0.0510)	(0.0447)	(0.0797)	(0.0785)	(0.0792)
unemployment		0.0514***	0.0599***		0.0437***	0.0320***
		(0.00763)	(0.00416)		(0.0126)	(0.00713)
educ	0.0163***	0.0163***	0.0201***	-0.000120	0.000210	0.00560
	(0.00366)	(0.00366)	(0.00327)	(0.00784)	(0.00794)	(0.00698)
experience	0.00458***	0.00459***	0.00484***	0.0251***	0.0252***	0.0248***
	(0.00116)	(0.00116)	(0.00116)	(0.00402)	(0.00401)	(0.00397)
experience2	0.000126***	0.000126***	0.000129***	-0.000316***	-0.000317***	-0.000296***
	(1.96e-05)	(1.95e-05)	(1.97e-05)	(7.56e-05)	(7.55e-05)	(7.56e-05)
female	0.0237*	0.0244*	0.0186	-0.0506*	-0.0492*	-0.0505*
	(0.0133)	(0.0134)	(0.0130)	(0.0279)	(0.0279)	(0.0280)
white	0.0603***	0.0626***	0.0471***	-0.0203	-0.0181	-0.0309
	(0.0152)	(0.0155)	(0.0166)	(0.0305)	(0.0306)	(0.0310)
married	-0.00645	-0.00684	-0.0108	-0.0430**	-0.0431**	-0.0488***
	(0.0113)	(0.0113)	(0.0113)	(0.0185)	(0.0184)	(0.0175)
o.union	-	-	-	-	-	-
						
2.ind	-0.287***	-0.288***	-0.297***	-0.148	-0.158	-0.169
	(0.0906)	(0.0906)	(0.0899)	(0.312)	(0.313)	(0.316)
3.ind	0.0193	0.0193	0.0129	-0.238	-0.235	-0.242
	(0.0818)	(0.0823)	(0.0830)	(0.301)	(0.301)	(0.304)
4.ind	-0.400***	-0.396***	-0.404***	-0.268	-0.265	-0.284
	(0.0765)	(0.0768)	(0.0772)	(0.291)	(0.290)	(0.294)
5.ind	-0.231***	-0.233***	-0.247***	-0.183	-0.179	-0.195
	(0.0774)	(0.0776)	(0.0786)	(0.301)	(0.301)	(0.305)
6.ind	-0.246***	-0.247***	-0.255***	-0.0660	-0.0664	-0.0740
	(0.0797)	(0.0803)	(0.0810)	(0.304)	(0.303)	(0.304)
7.ind	-0.273***	-0.273***	-0.278***	-0.196	-0.195	-0.202
	(0.0751)	(0.0755)	(0.0762)	(0.296)	(0.296)	(0.298)
8.ind	-0.562***	-0.561***	-0.566***	-0.438	-0.436	-0.443
	(0.106)	(0.107)	(0.108)	(0.305)	(0.304)	(0.307)
9.ind	-0.379***	-0.378***	-0.369***	-0.241	-0.241	-0.262
	(0.0923)	(0.0927)	(0.0942)	(0.280)	(0.280)	(0.283)
10.ind	-0.512***	-0.511***	-0.513***	-0.575	-0.568	-0.584
	(0.0880)	(0.0886)	(0.0885)	(0.381)	(0.382)	(0.379)
11.ind	-0.0521	-0.0501	-0.0480	-0.311	-0.309	-0.325
	(0.0962)	(0.0966)	(0.0971)	(0.338)	(0.339)	(0.340)
12.ind	-0.0785	-0.0782	-0.0686	0.107	0.114	0.115
	(0.0812)	(0.0816)	(0.0818)	(0.339)	(0.338)	(0.334)
13.ind	-0.115	-0.119	-0.108			
	(0.266)	(0.264)	(0.264)			
14.ind	0.0166	0.0168	0.0129	-0.167	-0.163	-0.171
