	(1)	(2)	(3)	(4)
11.stfips	-0.532***	-0.532***	0.0887***	-0.00234
	(0.0140)	(0.0138)	(0.0130)	(0.0148)
12.stfips	-0.165***	-0.0994***	0.165***	0.175***
	(0.00523)	(0.0118)	(0.00585)	(0.00609)
13.stfips	-0.106***	-0.00853	0.107***	0.0683***
	(0.00390)	(0.0162)	(0.00253)	(0.00428)
15.stfips	-0.135***	-0.00271	0.0612***	0.142***
	(0.0170)	(0.0255)	(0.0161)	(0.0170)
16.stfips	-0.143***	-0.0757***	-0.0439***	0.00833
	(0.00509)	(0.0121)	(0.00540)	(0.00800)
17.stfips	-0.189***	-0.164***	0.0422***	-0.00521
	(0.00528)	(0.00691)	(0.00363)	(0.00450)
18.stfips	-0.190***	-0.0920***	0.0592***	0.0412***
	(0.00485)	(0.0167)	(0.00425)	(0.00432)
19.stfips	-0.141***	-0.00727	-0.113***	-0.0323***
	(0.00585)	(0.0222)	(0.00525)	(0.00950)
20.stfips	-0.137***	0.00288	-0.0670***	-0.0133**
	(0.00573)	(0.0232)	(0.00388)	(0.00669)
21.stfips	-0.0676***	-0.0350***	-0.0461***	-0.0922***
	(0.00487)	(0.00767)	(0.00502)	(0.00546)
22.stfips	-0.0800***	-0.111***	0.0861***	0.0843***
	(0.00414)	(0.00660)	(0.00548)	(0.00555)
23.stfips	-0.218***	-0.128***	0.00183	0.00633
	(0.00618)	(0.0159)	(0.00692)	(0.00707)
24.stfips	-0.117***	0.00309	-0.0886***	-0.0665***
	(0.00473)	(0.0195)	(0.00603)	(0.00654)
25.stfips	-0.0874***	0.00374	0.0594***	0.0877***
	(0.00632)	(0.0161)	(0.00584)	(0.00685)
26.stfips	-0.0592***	-0.0624***	0.0780***	-0.00916
	(0.00614)	(0.00606)	(0.00534)	(0.00835)
27.stfips	-0.200***	-0.0653***	-0.0979***	-0.0499***
	(0.00657)	(0.0224)	(0.00588)	(0.00772)
28.stfips	0.0365***	0.0115*	0.134***	0.0766***
	(0.00475)	(0.00592)	(0.00276)	(0.00544)
29.stfips	-0.171***	-0.0996***	-0.0625***	-0.0665***
	(0.00370)	(0.0125)	(0.00519)	(0.00519)
30.stfips	-0.0605***	-0.00553	-0.159***	-0.0887***
	(0.00723)	(0.0116)	(0.00818)	(0.0114)
31.stfips	-0.181***	0.0151	-0.123***	0.0114
	(0.00622)	(0.0320)	(0.00420)	(0.0130)
32.stfips	-0.0567***	0.0222	-0.109***	-0.208***
	(0.0146)	(0.0194)	(0.0139)	(0.0160)
33.stfips	-0.224***	-0.0690***	-0.0376***	0.0553***
	(0.00611)	(0.0255)	(0.00563)	(0.0106)
34.stfips	-0.160***	-0.0772***	0.172***	0.150***
	(0.00521)	(0.0146)	(0.00693)	(0.00714)
35.stfips	-0.119***	-0.103***	0.0432***	0.0426***
