	(1)	(2)	(3)	(4)
41.stfips			-0.0704***	-0.191***
			(0.00728)	(0.0216)
42.stfips			-0.0267**	-0.104***
			(0.0126)	(0.0312)
44.stfips			0.124***	0.0822*
			(0.0192)	(0.0445)
45.stfips			0.00595	-0.0138
			(0.0153)	(0.0366)
46.stfips			0.0536	0.0173
			(0.0392)	(0.0861)
47.stfips			0.0179	0.0642**
			(0.0126)	(0.0255)
48.stfips			0.0797***	0.133***
			(0.00840)	(0.0247)
49.stfips			0.129***	0.168***
			(0.0255)	(0.0568)
50.stfips			0.0788**	0.198***
			(0.0318)	(0.0676)
51.stfips			0.134***	0.193***
			(0.0303)	(0.0650)
53.stfips			0.0721***	0.0263
			(0.00886)	(0.0189)
54.stfips			-0.114***	-0.248***
			(0.0224)	(0.0537)
55.stfips			0.0115	-0.237***
			(0.0242)	(0.0539)
56.stfips			0.259***	0.349***
			(0.0233)	(0.0551)
1984.year	0.0749*	0.413***	0.195***	0.556***
	(0.0397)	(0.131)	(0.0455)	(0.119)
1985.year	0.0879	0.273*	0.238***	0.465***
	(0.0569)	(0.141)	(0.0608)	(0.154)
1986.year	-0.0581	0.236*	0.134**	0.464***
	(0.0574)	(0.122)	(0.0624)	(0.128)
1987.year	0.193***	0.487***	0.410***	0.759***
	(0.0546)	(0.130)	(0.0594)	(0.141)
1988.year	0.139***	0.370***	0.410***	0.719***
	(0.0515)	(0.133)	(0.0635)	(0.158)
1989.year	0.0348	0.370***	0.339***	0.721***
	(0.0503)	(0.119)	(0.0576)	(0.129)
1990.year	-0.0135	0.364***	0.243***	0.663***
	(0.0514)	(0.140)	(0.0577)	(0.143)
1991.year	-0.0809	0.349***	0.0926	0.577***
	(0.0599)	(0.115)	(0.0612)	(0.121)
1992.year	0.131**	0.394***	0.274***	0.598***
	(0.0537)	(0.130)	(0.0578)	(0.131)
1993.year	0.0994**	0.379***	0.281***	0.625***
	(0.0501)	(0.114)	(0.0560)	(0.120)
1994.year	-0.132**	-0.0592	-0.121**	-0.105
	(0.0621)	(0.148)	(0.0616)	(0.144)
1995.year	-0.179***	-0.102	-0.134*	-0.100
	(0.0661)	(0.171)	(0.0707)	(0.175)
1996.year	-0.114**	-0.120	-0.0955*	-0.159
	(0.0563)	(0.130)	(0.0574)	(0.132)
1997.year	-0.339***	-0.166	-0.253**	-0.131
	(0.124)	(0.345)	(0.127)	(0.344)
1998.year	-0.417***	-0.273	-0.309**	-0.219
	(0.134)	(0.352)	(0.138)	(0.357)
1999.year	-0.314***	-0.0793	-0.205**	-0.0214
	(0.0872)	(0.259)	(0.0897)	(0.269)
2000.year	-0.204***	-0.372***	-0.0646	-0.241**
	(0.0510)	(0.120)	(0.0516)	(0.119)
2001.year	-0.236***	-0.303**	-0.187***	-0.255*
	(0.0585)	(0.145)	(0.0609)	(0.153)
2002.year	-0.292**	0.105	-0.290**	0.0684
	(0.142)	(0.363)	(0.145)	(0.369)
2003.year	-0.116	0.0657	-0.144*	0.0245
	(0.0814)	(0.233)	(0.0815)	(0.230)
2004o.year	-	-	-	-
				
2005o.year	-	-	-	-
				
Constant	-1.349***	-1.572***	-2.702***	-2.890***
	(0.0417)	(0.106)	(0.142)	(0.294)
				
Observations	141,446	140,626	141,446	140,626
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
