	(1)	(2)	(3)	(4)
VARIABLES	No Controls/No Weighting	No Controls/Weighting	Controls/No Weighting	Controls/Weighting
				
inflation_post_treat	0.00197	0.0612	-0.00399	0.0409
	(0.0451)	(0.0719)	(0.0444)	(0.0717)
inflation_post	-0.162**	0.0130	-0.145*	0.0258
	(0.0824)	(0.226)	(0.0836)	(0.227)
inflation_treat	-0.0308	-0.0855**	-0.0281	-0.0830**
	(0.0219)	(0.0362)	(0.0219)	(0.0341)
post_treat	0.00539	-0.0632	0.000413	-0.110
	(0.0474)	(0.0856)	(0.0435)	(0.0856)
post	0.115**	0.494***	0.368***	0.875***
	(0.0512)	(0.157)	(0.0667)	(0.156)
treat	-0.0840***	-0.118**	0.683***	0.662***
	(0.0241)	(0.0485)	(0.103)	(0.136)
unemployment			0.0734***	0.0776***
			(0.0109)	(0.0223)
educ			0.00883**	-0.000307
			(0.00446)	(0.0106)
experience			0.00723***	0.0131***
			(0.00191)	(0.00495)
experience2			9.36e-05**	-1.42e-05
			(3.80e-05)	(9.81e-05)
female			-0.0344**	-0.0777*
			(0.0171)	(0.0432)
white			-0.0183	0.0648
			(0.0151)	(0.0452)
married			0.0175	0.00196
			(0.0135)	(0.0340)
union			-0.211***	-0.174***
			(0.0166)	(0.0416)
2.ind			-0.340***	-0.454***
			(0.118)	(0.147)
3.ind			0.516***	0.399***
			(0.0541)	(0.110)
4.ind			-0.469***	-0.542***
			(0.0860)	(0.119)
5.ind			0.400***	0.247*
			(0.0606)	(0.134)
6.ind			0.431***	0.278**
			(0.0493)	(0.108)
7.ind			0.347***	0.155
			(0.0499)	(0.113)
8.ind			0.0352	-0.250
			(0.0734)	(0.163)
9.ind			0.181***	-0.0273
			(0.0629)	(0.178)
10.ind			0.0271	-0.223
			(0.0613)	(0.153)
11.ind			0.579***	0.355
			(0.0949)	(0.231)
12.ind			0.427***	0.243
			(0.0694)	(0.159)
13.ind			0.482	0.858*
			(0.354)	(0.516)
14.ind			0.608***	0.475***
			(0.0620)	(0.151)
15.ind			0.0765	-0.0563
			(0.0485)	(0.162)
16.ind			0.0846	-0.148
			(0.0523)	(0.132)
17.ind			0.428***	0.0743
			(0.0738)	(0.282)
18.ind			0.430***	-0.0340
			(0.0540)	(0.217)
19.ind			0.830***	0.613***
			(0.0537)	(0.156)
20o.ind			-	-
				
2.occ			-0.0253	0.0623
			(0.0963)	(0.145)
3.occ			0.0854	0.0427
			(0.0554)	(0.118)
4.occ			-0.0875	-0.0868
			(0.0861)	(0.110)
5.occ			0.000798	-0.0560
			(0.138)	(0.180)
6.occ			0.233**	
			(0.118)	
7.occ			0.0410	
			(0.178)	
8.occ			0.325***	-0.0896
			(0.106)	(0.284)
9.occ			0.306***	0.265*
			(0.104)	(0.136)
10.occ			0.0453	-0.0204
			(0.0822)	(0.245)
11.occ			-0.00192	-0.0341
			(0.0726)	(0.332)
12.occ			0.134*	-0.207
			(0.0794)	(0.165)
13.occ			0.351***	0.0471
			(0.0661)	(0.271)
14.occ			0.0961	0.121
			(0.0725)	(0.145)
15.occ			0.423***	2.181**
			(0.0858)	(0.857)
16.occ			-0.0107	0.0585
			(0.0662)	(0.174)
17.occ			0.0392	0.0519
			(0.0609)	(0.117)
18.occ			0.322***	0.234
			(0.105)	(0.164)
19.occ			0.145*	-0.0787
			(0.0859)	(0.161)
20.occ			0.0547	0.0138
			(0.0584)	(0.114)
21.occ			0.0474	0.0225
			(0.0675)	(0.119)
22.occ			0.161**	0.174
			(0.0708)	(0.144)
23.occ			0.0648	0.0177
			(0.102)	(0.149)
2.stfips			0.0369***	0.0883***
			(0.0119)	(0.0256)
4.stfips			-0.0279*	-0.365***
			(0.0166)	(0.0403)
5.stfips			0.0338***	0.103***
			(0.00778)	(0.0166)
6.stfips			0.0279***	-0.00690
			(0.00549)	(0.0157)
8.stfips			0.0742***	0.117**
			(0.0219)	(0.0517)
9.stfips			-0.0388	0.0425
			(0.0277)	(0.0631)
10.stfips			0.00854	-0.123*
			(0.0302)	(0.0671)
11.stfips			-0.448***	-1.183***
			(0.0121)	(0.0349)
12.stfips			-0.00690	-0.0971**
			(0.0165)	(0.0386)
13.stfips			0.0783***	-0.0584
			(0.0200)	(0.0492)
15.stfips			0.105***	-0.0863
			(0.0336)	(0.0791)
16.stfips			-0.00684	-0.0852***
			(0.0140)	(0.0316)
17.stfips			-0.0899***	-0.237***
			(0.00611)	(0.0185)
18.stfips			0.0337	0.0446
			(0.0207)	(0.0459)
19.stfips			0.0567*	0.164***
			(0.0295)	(0.0630)
20.stfips			-0.00468	-0.0268
			(0.0272)	(0.0634)
21.stfips			-0.0118*	0.162***
			(0.00692)	(0.0211)
22.stfips			-0.127***	-0.380***
			(0.00944)	(0.0224)
23.stfips			-0.0131	0.0352
			(0.0207)	(0.0474)
24.stfips			0.0746***	-0.00608
			(0.0272)	(0.0619)
25.stfips			0.0783***	0.137***
			(0.0201)	(0.0465)
26.stfips			-0.0215***	-0.0801***
			(0.00548)	(0.0169)
27.stfips			0.0408	-0.114*
			(0.0294)	(0.0611)
28.stfips			0.0945***	0.142***
			(0.00727)	(0.0148)
29.stfips			-0.0407**	-0.145***
			(0.0162)	(0.0336)
30.stfips			0.0696***	0.0170
			(0.0136)	(0.0309)
31.stfips			0.113***	-0.0176
			(0.0416)	(0.0902)
32.stfips			0.0747***	0.0970**
			(0.0226)	(0.0378)
33.stfips			0.0262	0.0153
			(0.0331)	(0.0744)
34.stfips			0.00801	-0.171***
			(0.0183)	(0.0465)
35.stfips			-0.0713***	-0.0274
			(0.00735)	(0.0240)
36.stfips			0.0755***	0.0179
			(0.0114)	(0.0283)
37.stfips			-0.0117	-0.0687
			(0.0251)	(0.0595)
38.stfips			0.183***	0.257***
			(0.0347)	(0.0732)
39.stfips			-0.0471***	-0.00606
			(0.00976)	(0.0254)
40.stfips			0.227***	0.0580
			(0.0191)	(0.0444)
