	(1)	(2)	(3)
VARIABLES	No Macro Controls	Macro Controls	No Year FE
			
inflation_rtw	0.0106	0.00961	0.00843
	(0.00972)	(0.00860)	(0.00854)
rtw	-0.0729	-0.0417	0.0201
	(0.0485)	(0.0461)	(0.0394)
unemployment		0.0486***	0.0545***
		(0.00790)	(0.00438)
educ	0.0137***	0.0137***	0.0174***
	(0.00376)	(0.00379)	(0.00335)
experience	0.00665***	0.00668***	0.00687***
	(0.00116)	(0.00116)	(0.00118)
experience2	7.88e-05***	7.84e-05***	8.25e-05***
	(2.10e-05)	(2.10e-05)	(2.17e-05)
female	0.00788	0.00876	0.00396
	(0.0115)	(0.0115)	(0.0114)
white	0.0454***	0.0477***	0.0337**
	(0.0134)	(0.0136)	(0.0146)
married	-0.0134	-0.0138	-0.0176*
	(0.00946)	(0.00953)	(0.00936)
union	-0.237***	-0.238***	-0.246***
	(0.0177)	(0.0177)	(0.0176)
2.ind	-0.284***	-0.288***	-0.297***
	(0.0967)	(0.0964)	(0.0962)
3.ind	-0.0791	-0.0776	-0.0826
	(0.0877)	(0.0883)	(0.0892)
4.ind	-0.397***	-0.393***	-0.402***
	(0.0814)	(0.0818)	(0.0824)
5.ind	-0.250***	-0.250***	-0.264***
	(0.0836)	(0.0839)	(0.0853)
6.ind	-0.250***	-0.250***	-0.257***
	(0.0873)	(0.0878)	(0.0886)
7.ind	-0.285***	-0.284***	-0.288***
	(0.0809)	(0.0814)	(0.0823)
8.ind	-0.539***	-0.538***	-0.540***
	(0.0999)	(0.100)	(0.101)
9.ind	-0.367***	-0.366***	-0.367***
	(0.0910)	(0.0915)	(0.0928)
10.ind	-0.527***	-0.526***	-0.528***
	(0.0944)	(0.0949)	(0.0949)
11.ind	-0.0881	-0.0857	-0.0842
	(0.105)	(0.106)	(0.106)
12.ind	-0.0806	-0.0795	-0.0721
	(0.0872)	(0.0875)	(0.0877)
13.ind	-0.151	-0.155	-0.134
	(0.273)	(0.271)	(0.271)
14.ind	-0.0349	-0.0340	-0.0371
	(0.0892)	(0.0898)	(0.0912)
15.ind	-0.463***	-0.462***	-0.468***
	(0.0858)	(0.0863)	(0.0865)
16.ind	-0.466***	-0.466***	-0.466***
	(0.0853)	(0.0859)	(0.0866)
17.ind	-0.161**	-0.163**	-0.159**
	(0.0744)	(0.0749)	(0.0764)
18.ind	-0.242***	-0.239***	-0.217**
	(0.0837)	(0.0843)	(0.0848)
19.ind	0.100	0.100	0.107
	(0.0858)	(0.0861)	(0.0868)
20.ind	-0.567***	-0.566***	-0.571***
	(0.0871)	(0.0875)	(0.0887)
2.occ	-0.0484	-0.0496	-0.0456
	(0.0473)	(0.0475)	(0.0481)
3.occ	0.0456	0.0452	0.0350
	(0.0361)	(0.0359)	(0.0365)
4.occ	-0.102**	-0.104**	-0.110**
	(0.0492)	(0.0490)	(0.0488)
5.occ	-0.0414	-0.0424	-0.0416
	(0.0860)	(0.0868)	(0.0871)
6.occ	0.185***	0.186***	0.199***
	(0.0677)	(0.0675)	(0.0680)
7.occ	0.0824	0.0806	0.0886
	(0.0843)	(0.0851)	(0.0834)
8.occ	0.232***	0.231***	0.246***
	(0.0591)	(0.0590)	(0.0581)
9.occ	0.265***	0.263***	0.268***
	(0.0670)	(0.0669)	(0.0664)
10.occ	-0.0385	-0.0388	-0.0244
	(0.0404)	(0.0404)	(0.0408)
11.occ	-0.00981	-0.0102	-0.0165
	(0.0437)	(0.0437)	(0.0435)
12.occ	0.0376	0.0380	0.0486
	(0.0472)	(0.0474)	(0.0472)
13.occ	0.197***	0.196***	0.195***
	(0.0384)	(0.0384)	(0.0379)
14.occ	0.00717	0.00652	0.0135
	(0.0376)	(0.0376)	(0.0377)
15.occ	0.346***	0.347***	0.356***
	(0.0641)	(0.0638)	(0.0633)
16.occ	-0.0904**	-0.0911**	-0.0811**
	(0.0410)	(0.0412)	(0.0405)
17.occ	-0.0246	-0.0250	-0.0237
	(0.0372)	(0.0372)	(0.0368)
18.occ	0.234**	0.236**	0.235**
	(0.0937)	(0.0936)	(0.0931)
19.occ	-0.0132	-0.0107	0.0161
	(0.0443)	(0.0445)	(0.0461)
20.occ	-0.0232	-0.0231	-0.0212
	(0.0343)	(0.0343)	(0.0344)
21.occ	-0.0252	-0.0253	-0.0182
	(0.0434)	(0.0432)	(0.0430)
22.occ	0.0359	0.0368	0.0429
	(0.0446)	(0.0448)	(0.0449)
23.occ	-0.0823*	-0.0823*	-0.0525
	(0.0471)	(0.0467)	(0.0458)
2.stfips	-0.0392	-0.0371	0.0209
	(0.0467)	(0.0444)	(0.0370)
4.stfips	-0.114***	-0.0903***	-0.0816***
	(0.00696)	(0.00816)	(0.00684)
5.stfips	-0.0348***	-0.00687	-0.00178
	(0.00189)	(0.00527)	(0.00327)
6.stfips	-0.103**	-0.105**	-0.0429
	(0.0508)	(0.0485)	(0.0392)
8.stfips	-0.161***	-0.0657	0.00783
	(0.0475)	(0.0488)	(0.0412)
9.stfips	-0.190***	-0.109**	-0.0333
	(0.0478)	(0.0484)	(0.0406)
10.stfips	-0.169***	-0.0605	0.0166
	(0.0482)	(0.0503)	(0.0423)
11.stfips	-0.239***	-0.241***	-0.187***
	(0.0517)	(0.0496)	(0.0412)
12.stfips	0.0144***	0.0503***	0.0487***
	(0.00344)	(0.00715)	(0.00583)
13.stfips	0.00998***	0.0405***	0.0466***
	(0.00323)	(0.00579)	(0.00373)
15.stfips	-0.100**	0.0392	0.104**
	(0.0503)	(0.0543)	(0.0455)
16.stfips	-0.0831***	-0.0277***	-0.0130*
	(0.00493)	(0.0102)	(0.00757)
17.stfips	-0.136***	-0.115**	-0.0428
	(0.0485)	(0.0463)	(0.0382)
18.stfips	-0.135***	-0.0621	-0.00707
	(0.0386)	(0.0392)	(0.0342)
19.stfips	-0.149***	-0.0346*	-0.0190*
	(0.00477)	(0.0196)	(0.0106)
20.stfips	-0.116***	-0.0210	-0.00305
	(0.00428)	(0.0159)	(0.00913)
21.stfips	-0.140***	-0.111***	-0.0523
	(0.0414)	(0.0401)	(0.0337)
22.stfips	0.00920*	-0.00407	0.00147
	(0.00559)	(0.00609)	(0.00420)
23.stfips	-0.181***	-0.0904*	-0.0137
	(0.0466)	(0.0478)	(0.0404)
24.stfips	-0.211***	-0.0986**	-0.0262
	(0.0475)	(0.0500)	(0.0418)
25.stfips	-0.103**	-0.0135	0.0498
	(0.0466)	(0.0475)	(0.0411)
26.stfips	-0.0486	-0.0640*	-0.0221
	(0.0372)	(0.0350)	(0.0297)
27.stfips	-0.240***	-0.114**	-0.0349
	(0.0472)	(0.0506)	(0.0423)
28.stfips	0.0843***	0.0489***	0.0450***
	(0.00342)	(0.00691)	(0.00429)
29.stfips	-0.200***	-0.127***	-0.0570
	(0.0458)	(0.0458)	(0.0388)
30.stfips	-0.211***	-0.120**	-0.0438
	(0.0486)	(0.0492)	(0.0414)
31.stfips	-0.168***	-0.00901	0.0166
	(0.00393)	(0.0263)	(0.0150)
32.stfips	-0.114***	-0.130***	-0.132***
	(0.0114)	(0.0123)	(0.0124)
