	(1)	(2)	(3)
33.stfips	-0.203***	-0.0480	0.0426
	(0.0478)	(0.0533)	(0.0437)
34.stfips	-0.0870*	-0.0200	0.0406
	(0.0468)	(0.0463)	(0.0401)
35.stfips	-0.0986**	-0.0624	-0.00190
	(0.0500)	(0.0482)	(0.0404)
36.stfips	-0.0712	-0.0205	0.0387
	(0.0469)	(0.0460)	(0.0396)
37.stfips	-0.107***	-0.0518***	-0.0503***
	(0.00448)	(0.00963)	(0.00456)
38.stfips	-0.148***	0.00265	0.0271*
	(0.00479)	(0.0251)	(0.0151)
39.stfips	-0.170***	-0.129***	-0.0648*
	(0.0468)	(0.0453)	(0.0387)
40.stfips	0.0737***	0.166***	0.206***
	(0.0218)	(0.0262)	(0.0218)
41.stfips	-0.245***	-0.214***	-0.140***
	(0.0488)	(0.0470)	(0.0384)
42.stfips	-0.148***	-0.0900*	-0.0225
	(0.0467)	(0.0459)	(0.0396)
44.stfips	-0.0883*	-0.0568	0.0131
	(0.0475)	(0.0461)	(0.0387)
45.stfips	-0.109***	-0.0944***	-0.0960***
	(0.00284)	(0.00335)	(0.00221)
46.stfips	-0.173***	-0.0173	0.00883
	(0.00454)	(0.0257)	(0.0145)
47.stfips	-0.0633***	-0.0370***	-0.0298***
	(0.00228)	(0.00512)	(0.00317)
48.stfips	0.0363**	0.0755***	0.0985***
	(0.0163)	(0.0172)	(0.0143)
49.stfips	-0.0476***	0.0570***	0.0790***
	(0.00437)	(0.0177)	(0.0110)
50.stfips	-0.231***	-0.0783	0.00747
	(0.0470)	(0.0524)	(0.0435)
51.stfips	-0.00304	0.0994***	0.113***
	(0.00277)	(0.0172)	(0.00944)
53.stfips	-0.118**	-0.0681	0.00573
	(0.0491)	(0.0479)	(0.0394)
54.stfips	-0.129***	-0.152***	-0.0881**
	(0.0481)	(0.0456)	(0.0371)
55.stfips	-0.147***	-0.0519	0.0190
	(0.0389)	(0.0410)	(0.0345)
56.stfips	-0.0257***	0.0658***	0.0848***
	(0.00961)	(0.0165)	(0.0126)
1984.year	0.0379	0.136***	
	(0.0391)	(0.0428)	
1985.year	0.0595	0.176***	
	(0.0559)	(0.0608)	
1986.year	-0.0737	0.0566	
	(0.0588)	(0.0612)	
1987.year	0.148***	0.317***	
	(0.0539)	(0.0635)	
1988.year	0.0893*	0.289***	
	(0.0493)	(0.0609)	
1989.year	-0.00956	0.200***	
	(0.0519)	(0.0626)	
1990.year	-0.0818*	0.111*	
	(0.0495)	(0.0583)	
1991.year	-0.135**	0.00157	
	(0.0594)	(0.0604)	
1992.year	0.0911*	0.204***	
	(0.0541)	(0.0563)	
1993.year	0.0535	0.198***	
	(0.0517)	(0.0569)	
1994.year	0.0551	0.237***	
	(0.0614)	(0.0686)	
1995.year	0.0399	0.241***	
	(0.0590)	(0.0709)	
1996.year	-0.0552	0.153**	
	(0.0649)	(0.0744)	
1997.year	0.00771	0.236***	
	(0.0555)	(0.0669)	
1998.year	-0.0598	0.187**	
	(0.0539)	(0.0730)	
1999.year	-0.0640	0.194**	
	(0.0621)	(0.0760)	
2000.year	-0.128*	0.142	
	(0.0751)	(0.0882)	
2001.year	-0.0934*	0.143*	
	(0.0563)	(0.0762)	
2002.year	0.0595	0.249***	
	(0.0612)	(0.0726)	
2003.year	0.113**	0.291***	
	(0.0545)	(0.0646)	
2004.year	0.162***	0.359***	
	(0.0607)	(0.0707)	
2005.year	0.0349	0.249***	
	(0.0558)	(0.0671)	
2006.year	-0.0694	0.163**	
	(0.0543)	(0.0714)	
2007.year	-0.103**	0.132**	
	(0.0522)	(0.0662)	
2008.year	-0.0583	0.127*	
	(0.0538)	(0.0696)	
2009.year	0.141***	0.175***	
	(0.0521)	(0.0511)	
2010.year	0.343***	0.363***	
	(0.0452)	(0.0461)	
2011.year	0.345***	0.397***	
	(0.0462)	(0.0466)	
2012.year	0.321***	0.412***	
	(0.0482)	(0.0551)	
2013.year	0.294***	0.414***	
	(0.0534)	(0.0605)	
2014.year	0.224***	0.396***	
	(0.0483)	(0.0576)	
2015.year	0.212***	0.423***	
	(0.0563)	(0.0635)	
2016.year	0.123**	0.350***	
	(0.0526)	(0.0680)	
2017.year	0.125**	0.377***	
	(0.0580)	(0.0721)	
2018.year	0.0756	0.346***	
	(0.0625)	(0.0787)	
2019.year	0.0337	0.314***	
	(0.0584)	(0.0793)	
2020.year	0.107*	0.192***	
	(0.0597)	(0.0659)	
2021.year	0.00650	0.222***	
	(0.0658)	(0.0817)	
2022.year	-0.155**	0.134	
	(0.0727)	(0.0854)	
2023.year	-0.145***	0.142*	
	(0.0553)	(0.0761)	
inflation			-0.0357***
			(0.00484)
productivity_growth			-0.0307***
			(0.00354)
Constant	-1.243***	-1.775***	-1.644***
	(0.132)	(0.159)	(0.130)
			
Observations	274,794	274,794	274,794
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
