	(1)	(2)	(3)
	(0.00577)	(0.0207)	(0.0160)
24.stfips	-0.0996***	0.0746***	0.0235
	(0.00522)	(0.0272)	(0.0201)
25.stfips	-0.0486***	0.0783***	0.0433***
	(0.00547)	(0.0201)	(0.0156)
26.stfips	0.000976	-0.0215***	-0.0133***
	(0.00483)	(0.00548)	(0.00482)
27.stfips	-0.143***	0.0408	-0.0104
	(0.00626)	(0.0294)	(0.0225)
28.stfips	0.137***	0.0945***	0.106***
	(0.00411)	(0.00727)	(0.00587)
29.stfips	-0.141***	-0.0407**	-0.0689***
	(0.00372)	(0.0162)	(0.0122)
30.stfips	-0.00260	0.0696***	0.0488***
	(0.00658)	(0.0136)	(0.0115)
31.stfips	-0.156***	0.113***	0.0380
	(0.00541)	(0.0416)	(0.0322)
32.stfips	-0.0283**	0.0747***	0.0472**
	(0.0143)	(0.0226)	(0.0204)
33.stfips	-0.186***	0.0262	-0.0290
	(0.00614)	(0.0331)	(0.0254)
34.stfips	-0.102***	0.00801	-0.0227
	(0.00521)	(0.0183)	(0.0147)
35.stfips	-0.0882***	-0.0713***	-0.0789***
	(0.00653)	(0.00735)	(0.00701)
36.stfips	0.0140***	0.0755***	0.0547***
	(0.00520)	(0.0114)	(0.00939)
37.stfips	-0.172***	-0.0117	-0.0529***
	(0.00503)	(0.0251)	(0.0201)
38.stfips	-0.0368***	0.183***	0.127***
	(0.00712)	(0.0347)	(0.0272)
39.stfips	-0.100***	-0.0471***	-0.0606***
	(0.00412)	(0.00976)	(0.00819)
40.stfips	0.104***	0.227***	0.190***
	(0.00383)	(0.0191)	(0.0156)
41.stfips	-0.0950***	-0.0704***	-0.0745***
	(0.00529)	(0.00728)	(0.00602)
42.stfips	-0.0975***	-0.0267**	-0.0453***
	(0.00474)	(0.0126)	(0.0103)
44.stfips	0.00906*	0.124***	0.0981***
	(0.00476)	(0.0192)	(0.0148)
45.stfips	-0.0901***	0.00595	-0.0213*
	(0.00482)	(0.0153)	(0.0126)
