	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	unemployment	educ	experience	female	white	married	union
							
	(0.00818)	(0.00862)	(0.0320)	(0.00421)	(0.00751)	(0.00406)	(0.00443)
24.stfips	-2.616***	0.481***	-1.240***	-0.104***	0.463***	-0.245***	0.0443***
	(0.0140)	(0.00875)	(0.0341)	(0.00484)	(0.0101)	(0.00564)	(0.00712)
25.stfips	-2.031***	0.274***	-0.831***	-0.0666***	1.601***	-0.259***	0.207***
	(0.0118)	(0.0101)	(0.0387)	(0.00508)	(0.0103)	(0.00411)	(0.00694)
26.stfips	0.266***	1.069***	-3.014***	-0.225***	1.400***	0.0591***	0.994***
	(0.0177)	(0.00617)	(0.0313)	(0.00621)	(0.00639)	(0.00503)	(0.00636)
27.stfips	-2.664***	1.172***	-2.460***	-0.183***	2.300***	-0.0116***	0.611***
	(0.0156)	(0.0113)	(0.0332)	(0.00424)	(0.0128)	(0.00408)	(0.00512)
28.stfips	0.534***	0.454***	-2.105***	0.213***	-0.444***	-0.161***	-0.859***
	(0.00524)	(0.00827)	(0.0224)	(0.00304)	(0.00695)	(0.00202)	(0.00380)
29.stfips	-1.516***	0.673***	-0.986***	-0.189***	1.300***	0.0554***	0.509***
	(0.0136)	(0.00483)	(0.0217)	(0.00279)	(0.00562)	(0.00323)	(0.00446)
30.stfips	-1.090***	1.386***	-3.009***	-0.227***	2.397***	-0.0118**	0.420***
	(0.0116)	(0.0102)	(0.0406)	(0.00439)	(0.00743)	(0.00504)	(0.00742)
31.stfips	-3.913***	1.065***	-1.474***	0.123***	1.753***	0.0683***	-0.162***
	(0.0286)	(0.0143)	(0.0415)	(0.00495)	(0.0124)	(0.00531)	(0.00537)
32.stfips	-1.530***	0.967***	-2.744***	-0.164***	0.761***	-0.204***	0.0171*
	(0.0202)	(0.00902)	(0.0357)	(0.00471)	(0.00957)	(0.00539)	(0.00880)
33.stfips	-3.279***	0.764***	-1.078***	0.136***	2.549***	-0.160***	-0.600***
	(0.0174)	(0.0124)	(0.0462)	(0.00653)	(0.0141)	(0.00507)	(0.00492)
34.stfips	-1.754***	0.449***	0.492***	-0.195***	0.370***	-0.222***	0.695***
	(0.0174)	(0.0100)	(0.0512)	(0.00809)	(0.0115)	(0.00635)	(0.00757)
35.stfips	-0.376***	0.404***	-2.190***	-0.264***	-0.976***	-0.188***	-0.271***
