DATE,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
1/1/42,,2941,1977,524,7735,1113,1792,851,279,2151,3209,,2439,478,8057,3507,1760,2797,2546,4370,1998,839,5549,2662,3829,2210,518,3569,583,1239,481,4297,502,137,13002,6969,2215,1107,9704,748,2007,589,2939,6711,575,3038,343,1901,3053,1831,251
1/1/43,,2902,1843,692,8506,1153,1792,900,282,2451,3245,,2334,500,7761,3449,1796,2693,2565,4257,2089,806,5405,2577,3705,2280,485,3654,546,1241,462,4226,534,151,12807,6868,2205,1221,9444,760,1967,587,2972,7012,631,3130,327,2027,3014,1741,247
1/1/44,,2802,1768,610,8945,1137,1778,881,285,2420,3176,,2301,529,7719,3440,1779,2631,2508,4192,2118,801,5467,2526,3560,2167,469,3560,534,1216,456,4158,527,153,12628,6918,2043,1233,9214,795,1943,565,2868,6876,605,3248,314,2092,2980,1706,242
1/1/45,,2775,1762,594,9344,1116,1769,876,286,2465,3119,,2308,507,7601,3427,1731,2597,2429,4201,2096,800,5475,2537,3516,2090,477,3533,546,1211,459,4108,537,149,12495,6916,2028,1250,9143,776,1934,579,2878,6826,591,3193,315,2206,2961,1708,239
1/1/46,,2911,1797,616,9559,1203,1906,899,299,2440,3242,,2467,509,8155,3702,1805,2761,2556,4494,2214,832,5874,2734,3746,2064,514,3706,570,1256,494,4492,561,143,13398,7512,2128,1338,9866,770,1936,588,3074,7197,638,3212,342,2288,3167,1826,254
1/1/47,,2942,1836,653,9832,1237,1967,888,305,2528,3272,,2509,522,8341,3779,1853,2803,2579,4580,2248,854,6076,2796,3845,2107,531,3769,578,1265,507,4618,582,149,13982,7705,2133,1361,10196,776,1992,601,3166,7388,636,3201,354,2211,3250,1883,258
1/1/48,,2969,1825,690,10064,1263,2014,840,312,2578,3259,,2543,551,8552,3877,1892,2817,2596,4674,2271,878,6213,2868,3844,2076,542,3837,580,1265,520,4774,604,156,14497,7876,2089,1405,10287,787,1996,612,3216,7626,653,3207,359,2255,3314,1899,269
1/1/49,,3000,1844,714,10337,1295,2032,807,316,2668,3325,,2578,570,8670,3958,1925,2849,2634,4741,2329,903,6332,2935,3882,2085,569,3911,597,1302,533,4889,644,157,14892,7973,2105,1431,10390,801,2029,631,3236,7623,671,3292,369,2294,3391,1930,277
1/1/50,135,3058,1908,756,10677,1325,2016,806,321,2810,3458,498,2625,590,8738,3967,1916,2936,2697,4686,2355,917,6407,2997,3964,2176,593,4068,619,1327,532,4872,689,162,14865,7980,2229,1532,10507,786,2113,655,3315,7776,696,3315,379,2387,3438,2006,290
1/1/51,158,3059,1901,785,11134,1326,2028,808,331,2980,3531,514,2617,589,8790,4096,1950,2941,2769,4654,2441,916,6497,3010,4015,2163,596,4120,604,1316,529,5006,717,168,14890,8061,2210,1556,10461,784,2167,655,3372,8111,706,3434,378,2424,3439,1984,291
1/1/52,189,3068,1838,842,11635,1365,2081,805,341,3157,3584,517,2626,587,8956,4148,1977,2920,2842,4650,2500,915,6650,3030,3972,2152,602,4109,608,1311,535,5125,735,181,15192,8275,2219,1582,10503,802,2178,651,3352,8314,724,3504,375,2448,3469,1957,293
1/1/53,205,3053,1780,894,12251,1431,2168,810,351,3310,3558,510,2629,596,9065,4182,1994,2903,2866,4806,2567,913,6822,3050,4020,2105,616,4120,609,1318,547,5229,756,195,15527,8591,2182,1601,10662,815,2181,648,3319,8336,739,3557,379,2466,3506,1929,290
1/1/54,215,3014,1734,933,12746,1493,2249,791,368,3505,3602,505,2626,600,9252,4264,2042,2902,2883,4910,2685,927,7066,3113,4066,2064,624,4131,611,1340,554,5360,763,213,15814,8873,2209,1626,10817,816,2176,655,3359,8382,750,3555,377,2516,3608,1905,293
1/1/55,222,3050,1725,987,13133,1546,2300,785,389,3747,3636,539,2679,618,9435,4363,2093,2910,2946,4882,2742,934,7285,3172,4134,2060,636,4242,615,1374,557,5502,785,237,15966,9017,2250,1659,10939,823,2200,663,3415,8660,783,3588,375,2604,3679,1880,307
1/1/56,224,3071,1704,1053,13713,1625,2316,759,408,4047,3701,559,2703,628,9530,4458,2119,2898,3032,4891,2811,938,7467,3240,4163,2086,656,4309,613,1397,566,5615,806,250,16112,9207,2273,1698,10972,840,2229,670,3415,8830,809,3722,377,2668,3742,1857,312
1/1/57,231,3109,1733,1125,14264,1664,2359,763,426,4372,3766,584,2716,642,9668,4529,2128,2928,3115,4929,2873,943,7569,3274,4189,2088,667,4368,612,1394,572,5737,847,260,16374,9410,2282,1712,10954,851,2274,666,3434,9070,826,3844,376,2724,3791,1843,314
1/1/58,224,3163,1726,1193,14880,1667,2446,757,433,4630,3804,605,2708,646,9886,4583,2142,2961,3155,5010,2982,944,7667,3313,4186,2086,666,4376,606,1383,581,5890,886,269,16601,9599,2267,1718,11058,858,2304,656,3471,9252,845,3914,380,2773,3843,1845,315
1/1/59,224,3204,1756,1261,15467,1710,2523,761,441,4808,3868,622,2729,657,9986,4613,2160,2999,3208,5117,3066,957,7767,3366,4258,2138,669,4458,618,1397,596,6015,919,279,16685,9671,2289,1746,11234,857,2348,667,3522,9405,870,3951,387,2821,3891,1855,320
1/1/60,229,3274,1789,1321,15870,1769,2544,765,449,5004,3956,642,2756,671,10086,4674,2183,3041,3260,5160,3113,975,7834,3425,4326,2182,679,4573,634,1417,609,6103,954,291,16838,9734,2336,1772,11329,855,2392,683,3575,9624,900,3986,389,2855,3962,1853,331
1/1/61,238,3316,1806,1407,16497,1844,2586,778,461,5243,4015,659,2756,684,10130,4730,2215,3054,3287,5219,3176,995,7893,3470,4349,2206,696,4663,641,1446,618,6265,965,315,17061,9854,2380,1787,11392,858,2409,693,3622,9820,936,4095,390,2882,4009,1828,337
